Team,Shots,GoalsFor,Points,GoalConversion
Arsenal,657,91,89,0.1385083713850837
Aston Villa,514,76,68,0.14785992217898833
Bournemouth,542,54,48,0.0996309963099631
Brentford,473,56,39,0.11839323467230443
Brighton,562,55,48,0.09786476868327403
Burnley,433,41,24,0.09468822170900693
Chelsea,548,77,63,0.14051094890510948
Crystal Palace,456,57,49,0.125
Everton,507,40,48,0.07889546351084813
Fulham,500,55,47,0.11
Liverpool,790,86,82,0.10886075949367088
Luton,431,52,26,0.12064965197215777
Man City,690,96,91,0.1391304347826087
Man United,550,57,60,0.10363636363636364
Newcastle,551,85,60,0.1542649727767695
Nott'm Forest,451,49,36,0.10864745011086474
Sheffield United,368,35,16,0.09510869565217392
Tottenham,582,74,66,0.12714776632302405
West Ham,450,60,52,0.13333333333333333
Wolves,427,50,46,0.117096018735363
